(Intercept),n_farm_inputs,p_dev_inputs,Precip8110Ws,Tmean8110Ws,BFIWs,MAXDEPTH,lakemorpho_fetch,UNIQUE_ID,fitted,de,.xcoord,.ycoord
4.53560843,0.108728168,5.60E-04,-0.15069785,0.302770701,-0.074231862,-0.014832235,0.007246629,NLA_OK-10111,4.715152029,0.021096676,-295967.6502,1381868.415
4.53560843,1.17E-04,7.22E-05,-0.110929304,0.161080781,-0.142328759,-0.02966447,0.019020394,NLA_NM-10054,4.432976438,0.044822515,-725961.1201,1563331.656
4.53560843,0,0,-0.236085247,0.322934313,-0.264341474,-0.013843419,0.003141443,NLA_SC-10010,4.347414046,0.04277092,1294619.375,1352058.895
4.53560843,0,0.023355236,-0.229743864,0.345637925,-0.296465478,-0.020765129,0.00454438,NLA_SC-10011,4.3621715,0.14209188,1376228.73,1324341.385
4.53560843,0.022658173,0.003046487,-0.235660116,0.343529464,-0.356068551,-0.019776314,0.003486121,NLA_SC-10014,4.296823695,0.044755056,1296523.639,1263947.727
4.53560843,0,0,-0.097558175,0.182917746,-0.287149032,-0.004944078,0.009058025,NLA_NM-10074,4.337932916,-0.036984525,-784667.4007,1494869.443
4.53560843,0.045571903,0.060344083,-0.082566865,0.201801364,-0.307532002,-0.034608549,0.012584334,NLA_CO-10027,4.431202699,-0.045961388,-769973.6402,1923355.754
4.53560843,0.180315087,5.36E-04,-0.119128513,0.119234713,-0.174891525,-0.031642102,0.03090892,NLA_ND-10043,4.540941345,0.360630545,-95834.66161,2568274.102
4.53560843,0.041294851,0,-0.259573923,0.288966025,-0.18027738,-0.004944078,0.002865945,NLA_KY-10026,4.423939869,0.410717753,590829.537,1515944.825
4.53560843,0.247007962,7.31E-04,-0.213204956,0.25235818,-0.106284736,-0.021753945,0.006028578,NLA_KS-10065,4.700490264,-0.267260121,106110.7424,1753003.645
4.53560843,3.78E-04,0.016073877,-0.246437956,0.243598206,-0.214508635,-0.071194729,0.073953359,NLA_PA-10030,4.337470831,0.011918794,1775556.734,2103005.773
4.53560843,2.17E-04,4.11E-04,-0.381191233,0.221145752,-0.340040088,-0.415302585,0.064742869,NLA_NC-10005,3.685591033,0.005225922,1109432.129,1419079.335
4.53560843,0,0,-0.093709393,0.185894602,-0.275718346,-0.010876972,0.043341594,NLA_NM-10011,4.384539915,-0.123053379,-818294.2725,1451141.296
